"District","Year","Observed","Predicted"
27,1998,171.5,150.259802955663
27,1999,90.8,149.154679802954
27,2000,16.1,148.049556650245
27,2001,95.1,146.944433497536
27,2002,106.3,145.839310344827
27,2003,245,144.734187192117
27,2004,172.9,143.629064039408
27,2005,246.5,142.523940886699
27,2006,35.9,141.41881773399
27,2007,53,140.313694581281
27,2008,27,139.208571428572
27,2009,141.9,138.103448275862
27,2010,222.8,136.998325123153
27,2011,14.5,135.893201970444
27,2012,201.9,134.788078817735
27,2013,269.2,133.682955665026
27,2014,148.2,132.577832512316
27,2015,39,131.472709359608
27,2016,88.5,130.367586206898
27,2017,204.8,129.262463054189
27,2018,120.9,128.15733990148
27,2019,223.7,127.052216748771
27,2020,208.1,125.947093596062
27,2021,119.6,124.841970443352
27,2022,125.7,123.736847290643
27,2023,14.6,122.631724137934
28,1995,172.3,56.1062068965502
28,1996,13.1,57.5104433497527
28,1997,13.9,58.9146798029547
28,1998,83.7,60.3189162561566
28,1999,39.4,61.7231527093586
28,2000,0.9,63.1273891625606
28,2001,27.1,64.5316256157626
28,2002,15.5,65.935862068965
28,2003,178.3,67.340098522167
28,2004,69.3,68.7443349753689
28,2005,167.5,70.1485714285709
28,2006,58.2,71.5528078817729
28,2007,52.8,72.9570443349749
28,2008,16.4,74.3612807881773
28,2009,76.8,75.7655172413793
28,2010,52.9,77.1697536945812
28,2011,16.7,78.5739901477832
28,2012,138.3,79.9782266009852
28,2013,247.3,81.3824630541872
28,2014,49,82.7866995073896
28,2015,10.4,84.1909359605916
28,2016,50.5,85.5951724137935
28,2017,70.3,86.9994088669955
28,2018,14.9,88.4036453201975
28,2019,116.9,89.8078817733995
28,2020,128.4,91.2121182266014
28,2021,70,92.6163546798039
28,2022,87.9,94.0205911330058
28,2023,158.5,95.4248275862078
29,1995,133.1,58.377931034482
29,1996,23.1,58.8312315270929
29,1997,41.8,59.2845320197038
29,1998,127.1,59.7378325123146
29,1999,67,60.1911330049255
29,2000,0,60.6444334975364
29,2001,22.9,61.0977339901473
29,2002,9.7,61.5510344827583
29,2003,105.3,62.0043349753691
29,2004,107.7,62.45763546798
29,2005,101.3,62.9109359605909
29,2006,24.8,63.3642364532018
29,2007,22.5,63.8175369458127
29,2008,4.3,64.2708374384235
29,2009,64.3,64.7241379310344
29,2010,63.1,65.1774384236453
29,2011,2.8,65.6307389162562
29,2012,117,66.0840394088671
29,2013,219,66.5373399014779
29,2014,26.5,66.9906403940888
29,2015,0.8,67.4439408866997
29,2016,60.5,67.8972413793106
29,2017,130.7,68.3505418719215
29,2018,49.3,68.8038423645323
29,2019,53,69.2571428571432
29,2020,103.6,69.7104433497541
29,2021,53.9,70.1637438423651
29,2022,44.9,70.617044334976
29,2023,97,71.0703448275868
30,1995,118.4,81.0813793103445
30,1996,27.2,80.979753694581
30,1997,55.7,80.8781280788174
30,1998,197.9,80.7765024630539
30,1999,90.7,80.6748768472904
30,2000,11.6,80.5732512315269
30,2001,64.2,80.4716256157633
30,2002,42.6,80.3699999999998
30,2003,222.6,80.2683743842363
