"Sl. No.","District","Year","Precipitation","Predicted"
9,"Dhenkanal",2000,39.7,152.63645320197
9,"Dhenkanal",2001,135.9,151.921674876847
9,"Dhenkanal",2002,28.1,151.206896551724
9,"Dhenkanal",2003,341.5,150.4921182266
9,"Dhenkanal",2004,143.3,149.777339901477
9,"Dhenkanal",2005,259.4,149.062561576354
9,"Dhenkanal",2006,41.1,148.347783251231
9,"Dhenkanal",2007,41.7,147.633004926108
9,"Dhenkanal",2008,18.3,146.918226600985
9,"Dhenkanal",2009,201.6,146.203448275862
9,"Dhenkanal",2010,130.9,145.488669950739
9,"Dhenkanal",2011,36.6,144.773891625616
9,"Dhenkanal",2012,155.3,144.059113300493
9,"Dhenkanal",2013,480.7,143.34433497537
9,"Dhenkanal",2014,105.3,142.629556650247
9,"Dhenkanal",2015,32.2,141.914778325124
9,"Dhenkanal",2016,88.9,141.200000000001
9,"Dhenkanal",2017,224.1,140.485221674877
9,"Dhenkanal",2018,154.6,139.770443349754
9,"Dhenkanal",2019,159.6,139.055665024631
9,"Dhenkanal",2020,142.2,138.340886699508
9,"Dhenkanal",2021,101,137.626108374385
9,"Dhenkanal",2022,119.2,136.911330049262
9,"Dhenkanal",2023,134.1,136.196551724139
10,"Gajapati",1995,480.5,228.151724137929
10,"Gajapati",1996,107.8,228.646798029555
10,"Gajapati",1997,123.8,229.14187192118
10,"Gajapati",1998,292.2,229.636945812806
10,"Gajapati",1999,235.2,230.132019704432
10,"Gajapati",2000,117.3,230.627093596058
10,"Gajapati",2001,221.1,231.122167487684
10,"Gajapati",2002,119.4,231.617241379309
10,"Gajapati",2003,557.9,232.112315270935
10,"Gajapati",2004,301.3,232.607389162561
10,"Gajapati",2005,259.2,233.102463054187
10,"Gajapati",2006,75.9,233.597536945812
10,"Gajapati",2007,102.8,234.092610837438
10,"Gajapati",2008,28.5,234.587684729064
10,"Gajapati",2009,133.3,235.08275862069
10,"Gajapati",2010,341.5,235.577832512315
10,"Gajapati",2011,53.9,236.072906403941
10,"Gajapati",2012,209,236.567980295567
10,"Gajapati",2013,572.4,237.063054187193
10,"Gajapati",2014,413.3,237.558128078819
10,"Gajapati",2015,78.3,238.053201970444
10,"Gajapati",2016,170.3,238.54827586207
10,"Gajapati",2017,266.2,239.043349753696
10,"Gajapati",2018,321.1,239.538423645322
10,"Gajapati",2019,338.9,240.033497536947
10,"Gajapati",2020,348.9,240.528571428573
10,"Gajapati",2021,296.3,241.023645320199
10,"Gajapati",2022,213.7,241.518719211825
10,"Gajapati",2023,37.4,242.01379310345
11,"Ganjam",1995,457.1,265.755862068964
11,"Ganjam",1996,118.6,264.940049261083
11,"Ganjam",1997,42.6,264.124236453201
11,"Ganjam",1998,401.8,263.308423645319
11,"Ganjam",1999,506.1,262.492610837437
11,"Ganjam",2000,65.3,261.676798029556
11,"Ganjam",2001,303.1,260.860985221674
11,"Ganjam",2002,139.5,260.045172413792
11,"Ganjam",2003,562.6,259.229359605911
11,"Ganjam",2004,203.7,258.413546798029
11,"Ganjam",2005,310.4,257.597733990148
11,"Ganjam",2006,80.2,256.781921182266
11,"Ganjam",2007,97.4,255.966108374384
11,"Ganjam",2008,47.4,255.150295566503
11,"Ganjam",2009,250.1,254.334482758621
11,"Ganjam",2010,369.5,253.518669950739
11,"Ganjam",2011,33.6,252.702857142858
11,"Ganjam",2012,350.5,251.887044334976
11,"Ganjam",2013,835.7,251.071231527094
11,"Ganjam",2014,175.3,250.255418719212
11,"Ganjam",2015,69.5,249.439605911331
11,"Ganjam",2016,141,248.623793103449
11,"Ganjam",2017,285.5,247.807980295568
11,"Ganjam",2018,230.3,246.992167487686
11,"Ganjam",2019,308.2,246.176354679804
11,"Ganjam",2020,360.7,245.360541871923
11,"Ganjam",2021,347.6,244.544729064041
11,"Ganjam",2022,258.1,243.728916256159
11,"Ganjam",2023,24.3,242.913103448278
12,"Jagatsinghpur",1995,522.4,258.119999999999
12,"Jagatsinghpur",1996,130.7,256.739507389161
12,"Jagatsinghpur",1997,33.8,255.359014778324
12,"Jagatsinghpur",1998,491,253.978522167487
12,"Jagatsinghpur",1999,366.9,252.59802955665
12,"Jagatsinghpur",2000,52.9,251.217536945812
12,"Jagatsinghpur",2001,195,249.837044334975
12,"Jagatsinghpur",2002,157.2,248.456551724138
12,"Jagatsinghpur",2003,499.2,247.0760591133
12,"Jagatsinghpur",2004,256.4,245.695566502463
12,"Jagatsinghpur",2005,467.7,244.315073891626
12,"Jagatsinghpur",2006,61.3,242.934581280788
12,"Jagatsinghpur",2007,61.8,241.554088669951
12,"Jagatsinghpur",2008,68.6,240.173596059114
12,"Jagatsinghpur",2009,184.5,238.793103448276
12,"Jagatsinghpur",2010,333.4,237.412610837439
12,"Jagatsinghpur",2011,32.5,236.032118226602
12,"Jagatsinghpur",2012,152.5,234.651625615765
12,"Jagatsinghpur",2013,534.6,233.271133004927
12,"Jagatsinghpur",2014,126,231.89064039409
12,"Jagatsinghpur",2015,79.4,230.510147783253
